Non T2D 1	Non T2D 2	Non T2D 3	Non T2D 4	Non T2D 5	Non T2D 6
RNU6-69P	0	0	0	0	0	0
MIR4795	0	0	0	0	0	0
POU1F1	0	0	0	0	0	0
HTR1F	393	4883	896	373	728	119
CGGBP1	6042	10742	8308	4209	2281	779
C3orf38	824	3540	3643	1321	569	233
ZNF654	1086	2826	1701	531	369	99
PROS1	384	3148	1070	842	197	127
DHFRL1	1060	2792	1202	758	454	209
NSUN3	977	2019	2540	505	197	82
STX19	52	440	459	354	20	7
LINC00879	0	0	0	0	0	0
MTHFD2P1	8	16	3	16	8	3
MIR8060	0	0	0	0	0	0
MINA	1986	5161	1733	1994	786	215
GABRR3	0	0	1	0	0	0
OR5H15	0	0	0	0	0	0
OR5AC2	0	0	0	0	0	0
OR5H14	0	0	0	0	0	0
OR5H1	0	0	0	0	0	0
OR5H2	0	0	0	0	0	0
OR5H6	0	0	0	0	0	0
OR5K3	0	0	0	0	0	0
OR5K4	0	0	0	0	0	0
CLDND1	14434	29417	28639	3327	2943	912
GPR15	0	0	0	0	1	0
OR5K2	0	0	0	0	0	0
OR5K1	0	0	0	0	0	0
ST3GAL6	1050	3892	5782	1842	533	365
HP09053	11	258	142	226	14	8
MIR3921	0	0	0	0	0	0
TMEM30C	0	0	0	0	0	0
NIT2	3998	10907	6326	4139	1767	1083
TOMM70A	2145	6033	6795	2996	1692	537
TFG	10551	35498	24752	9387	4717	2749
IMPG2	1	2	32	33	3	1
PCNP	10014	17783	13195	3950	2156	854
TRMT10C	1610	8467	3712	3142	1244	743
FAM172BP	3	0	0	0	1	0
ZBTB11	1154	2454	2513	854	563	161
RPL24	3388	13554	3325	8510	5006	2103
ZBTB11-AS1	83	266	3	294	249	94
PDCL3P4	295	519	458	64	73	19
NXPE3	701	4236	1801	707	534	171
NFKBIZ	2985	11166	1734	9436	1123	945
ZPLD1	78	1835	312	19	192	18
LINC00883	837	916	1072	375	203	136
CCDC54	0	0	0	0	0	0
LOC101929607	2	296	1	8	10	19
LINC00635	0	0	0	0	11	0
CD47	16980	57028	21341	15275	3593	1773
LINC01215	0	0	0	0	0	0
IFT57	7228	17792	8815	6531	2774	1370
HHLA2	919	2229	744	1774	19	17
KIAA1524	417	534	426	429	153	35
RETNLB	0	0	0	0	0	0
TRAT1	0	0	1	0	0	0
LINC00488	0	0	1	0	1	6
FLJ22763	0	0	0	0	0	0
DPPA2	0	0	0	0	0	0
PVRL3-AS1	0	109	46	8	24	24
ZBED2	0	0	0	0	0	0
PLCXD2-AS1	0	0	0	0	0	10
ABHD10	9676	15253	13300	2071	1467	526
TAGLN3	1740	8933	3874	1802	2475	740
TMPRSS7	0	0	0	97	0	1
C3orf52	312	2612	457	1330	153	151
GCSAM	17	185	0	129	11	17
MIR567	0	0	0	3	0	0
ATG3	8231	19103	13435	5331	3022	1475
SLC35A5	3941	10781	5316	2585	1167	288
LINC01279	0	5	559	53	22	19
CD200R1L	0	0	0	0	0	0
CD200R1	0	3	1	17	0	0
GTPBP8	656	2202	1072	1081	372	92
LOC101929717	60	45	0	33	27	5
WDR52-AS1	0	2	6	2	0	0
SPICE1	1994	3970	1268	1165	349	156
MIR8076	0	0	0	0	1	0
SIDT1	675	878	300	377	157	154
MIR4446	0	0	0	0	0	0
NAA50	4623	14896	7556	5494	1806	599
ZDHHC23	201	893	1241	282	167	48
QTRTD1	1415	1713	1651	908	463	218
TIGIT	0	0	0	13	4	0
ZNF80	0	5	1	12	0	0
ZBTB20-AS1	0	101	123	66	14	3
MIR568	0	0	0	0	0	0
LOC101929754	40	6	1	1	2	0
MIR4796	0	0	0	3	0	0
ZBTB20-AS4	0	72	46	91	37	12
LSAMP-AS1	1	32	17	1	30	1
TUSC7	0	0	0	1	2	0
LINC00901	71	0	0	0	0	0
IGSF11-AS1	0	0	0	0	0	0
C3orf30	0	0	0	5	0	0
UPK1B	7	0	305	925	324	54
B4GALT4	2576	9304	3128	3212	1518	772
B4GALT4-AS1	0	52	78	10	3	1
ARHGAP31-AS1	0	0	0	0	1	15
POGLUT1	4771	11363	11838	1982	934	345
TIMMDC1	5646	26316	12965	7124	4185	1639
TMEM39A	795	11930	5041	2302	995	334
PLA1A	2804	2753	3618	1055	726	552
POPDC2	99	147	245	66	85	47
COX17	12993	31961	8624	9221	7973	3549
ADPRH	395	1917	997	456	168	214
NR1I2	0	1	1	11	1	0
MAATS1	503	1498	381	246	307	128
FSTL1	804	7368	9703	2546	1835	2017
MIR198	0	0	0	0	0	0
NDUFB4	19552	56835	19426	20267	11777	6021
HGD	3461	17042	13630	4446	1062	963
GTF2E1	721	3564	1588	868	361	199
FBXO40	0	60	0	0	2	1
ARGFX	13	27	0	13	7	5
GOLGB1	7197	34249	17511	14356	6346	2121
EAF2	1238	2281	1425	461	165	26
ILDR1	124	1271	244	1075	303	130
CD86	150	40	0	0	47	0
CASR	2392	24728	5951	6674	1880	562
FAM162A	6641	16585	8501	12248	2714	1242
WDR5B	965	4445	2560	758	451	260
CSTA	2	14	104	78	95	0
CCDC58	2321	3793	1463	632	386	148
PARP9	3635	22728	5664	2517	1931	526
PARP15	0	5	1	12	4	0
HSPBAP1	124	1427	1032	658	223	240
LOC100129550	0	1832	361	328	135	137
MIR7110	5	12	1	17	3	0
PTPLB	217	483	66	921	343	121
MYLK-AS2	0	8	6	0	2	6
ROPN1	0	0	0	0	0	0
CCDC14	1956	3577	2059	953	461	212
MIR5002	0	0	0	0	0	0
MIR6083	0	0	0	0	0	0
UMPS	3609	10679	6667	2410	1289	430
HEG1	369	1990	513	1770	435	214
MIR5092	0	0	0	0	0	0
MIR548I1	0	0	0	0	0	0
ALG1L	40	73	12	14	2	4
FAM86JP	31	136	19	64	104	20
SLC41A3	1724	12493	2987	6879	2137	1605
ALDH1L1-AS1	0	21	0	3	0	0
ALDH1L1-AS2	0	1	0	47	1	0
KLF15	38	75	0	144	19	54
CCDC37-AS1	0	0	0	9	0	0
CCDC37	0	40	0	8	3	1
ZXDC	962	3699	2557	2410	1053	354
CHST13	0	0	0	11	3	0
C3orf22	0	0	0	0	0	0
TXNRD3NB	0	0	0	0	0	0
NUP210P1	0	0	0	0	0	0
C3orf56	0	0	0	0	0	0
LOC101927123	0	0	0	0	0	0
ABTB1	658	2567	180	2702	1314	562
MCM2	1086	2193	504	1190	354	231
TPRA1	347	6905	917	4367	2280	1490
PODXL2	1490	5687	194	6273	6090	3238
MIR6825	0	0	0	5	1	0
SEC61A1	19760	45809	5338	28213	10358	5789
RUVBL1	1268	11729	3882	3380	1613	870
DNAJB8	0	0	0	2	0	0
GATA2	0	806	43	509	25	536
C3orf27	0	0	0	11	0	0
LOC90246	0	10	0	111	6	3
RPN1	21769	75791	22371	55183	10405	5630
ACAD9	2805	10056	2239	3198	1267	849
RAB43	0	17	13	139	23	10
EFCC1	188	866	125	141	186	162
GP9	0	0	0	6	35	0
CNBP	48924	143706	77014	39065	13155	7310
ISY1	839	3118	1645	1190	645	247
H1FX	1298	6343	1167	10922	8337	3511
HMCES	4614	14763	7407	3122	1919	771
H1FX-AS1	22	289	42	43	237	49
MIR6826	77	266	68	54	36	18
MBD4	4275	14478	7531	4074	2485	850
EFCAB12	902	324	224	92	251	76
SNORA7B	0	25	5	17	15	7
PLXND1	424	958	190	922	820	2391
RHO	0	0	0	1	0	0
H1FOO	0	0	0	0	0	0
TMCC1-AS1	156	291	201	59	70	6
TRH	0	0	0	0	0	0
FAM86HP	0	205	16	51	31	68
ALG1L2	0	0	17	1	0	0
COL6A4P2	0	0	0	2	27	6
ASTE1	788	2842	3104	565	191	188
NUDT16	1467	5187	1613	2772	1000	475
NUDT16P1	1854	2926	1485	1226	739	176
SNORA58	35	28	20	25	5	8
MIR5704	0	0	0	0	0	0
ACPP	0	831	359	136	98	33
ACAD11	163	736	167	282	146	65
ACKR4	28	209	0	80	13	1
NPHP3	781	689	905	200	259	60
TMEM108-AS1	0	4	101	13	0	0
TOPBP1	1116	1421	1571	1188	445	194
SRPRB	8527	19786	13647	8168	3018	1231
TF	77	182	710	66	26	5
C3orf36	0	0	0	0	0	0
ANAPC13	14621	26606	26694	9502	5129	2344
MIR4788	0	0	0	0	0	0
MSL2	1119	2248	961	803	1057	287
PCCB	6730	14407	7118	8041	2267	1104
SLC35G2	4841	17165	9745	1406	1863	945
NCK1	3858	9963	5251	1956	990	458
SOX14	0	0	0	0	0	0
CLDN18	19	48	4	209	22	79
A4GNT	0	1	1	3	0	8
DZIP1L	556	1963	491	302	554	165
ARMC8	6025	14109	7074	3015	1109	512
MRAS	375	1314	1009	1183	468	286
ESYT3	120	47	31	171	38	11
FAIM	1978	6811	2463	1559	869	234
FOXL2	1	0	0	45	0	0
FOXL2NB	0	0	0	0	1	0
LINC01391	0	0	0	1	0	0
PRR23C	0	1	0	0	0	0
PRR23A	0	1	0	2	1	0
PRR23B	0	0	0	0	0	0
BPESC1	5	20	4	7	2	0
PISRT1	0	0	0	0	0	0
RBP2	0	293	215	231	65	42
COPB2	15129	46892	31863	11051	5742	2057
RBP1	10536	57445	22888	37844	17229	11039
CLSTN2-AS1	0	0	3	0	0	0
TRIM42	0	0	0	0	0	0
SLC25A36	3082	7478	5628	4545	1658	300
PXYLP1	126	2995	1373	1584	209	72
RNF7	6421	18977	8529	11415	4990	2547
GRK7	0	0	0	6	0	0
ATP1B3	5895	14607	9881	8208	2004	1566
GK5	1887	3128	2311	1135	633	272
LOC100289361	921	1125	128	351	452	163
PAQR9	0	0	1	0	0	0
LOC100507389	0	0	0	0	1	0
CHST2	0	21	164	241	219	180
SLC9A9-AS1	0	0	0	0	0	0
C3orf58	868	1589	1040	593	317	97
PLOD2	5953	17502	4142	5162	1741	605
PLSCR4	677	6115	1806	2042	776	362
PLSCR2	115	556	313	63	45	19
PLSCR1	4768	24833	11138	4456	1890	1274
PLSCR5	0	0	0	0	0	0
ZIC4	0	0	0	0	0	0
ZIC1	0	0	0	2	0	0
AGTR1	106	708	562	95	38	36
CPB1	44764	32579	38603	344954	1564	91
CPA3	0	5811	0	99	0	0
GYG1	4449	19809	7812	4320	3469	1400
HLTF-AS1	0	0	0	0	0	0
HPS3	1310	3856	2224	1863	614	319
TM4SF18	0	912	2440	120	129	692
TM4SF1-AS1	3	249	8	219	32	6
TM4SF1	5629	48219	14981	39277	3680	2708
TM4SF4	193975	883510	417239	62084	123386	41362
WWTR1-AS1	6	9	0	95	2	3
COMMD2	2451	8060	3827	2531	1028	517
ANKUB1	0	0	0	0	0	0
LOC646903	221	674	583	103	428	39
LINC01213	0	47	31	3	4	0
LINC01214	0	253	118	0	52	14
TSC22D2	1175	1750	761	1353	661	600
EIF2A	5702	12364	12106	4405	1510	802
SERP1	23337	44952	26336	18219	8870	3936
LOC101928105	0	73	1	21	0	0
ERICH6	39	30	27	9	28	13
ERICH6-AS1	49	304	56	48	99	22
CLRN1	0	0	4	0	0	0
GPR171	0	69	0	2	14	1
GPR87	0	50	0	4	0	0
P2RY12	0	0	0	0	2	0
P2RY13	0	101	2	0	17	0
IGSF10	0	727	117	357	14	22
MIR5186	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACP1	0	29	149	41	0	0
AADAC	104	594	1	1290	11	0
SUCNR1	31	189	188	342	76	0
MBNL1-AS1	5	45	47	99	21	35
TMEM14E	0	16	1	15	7	0
P2RY1	736	2685	55	664	451	60
RAP2B	9318	15155	7010	3504	1759	1101
C3orf79	0	0	0	0	0	0
MME	68	0	0	2	7	0
LOC100507537	0	0	0	0	0	4
SLC33A1	2927	7564	2238	2791	904	425
C3orf33	1698	2725	929	695	389	155
GMPS	2347	6791	3681	2178	816	431
KCNAB1-AS2	0	92	0	0	0	0
KCNAB1-AS1	0	7	0	0	4	0
SSR3	9678	28344	13219	12674	4522	2323
TIPARP	828	2853	1079	2210	561	176
TIPARP-AS1	31	190	1	177	32	36
PA2G4P4	388	1038	390	642	242	87
CCNL1	3790	12873	5177	4092	2112	772
LINC00881	116	63	0	38	9	4
LINC00880	0	87	0	6	0	4
SHOX2	0	1	0	19	13	10
MLF1	2091	5865	2704	865	639	327
LOC100996447	4514	3645	4251	428	263	81
LXN	1222	5460	4952	852	539	714
GFM1	5281	13405	5274	3644	1389	662
RARRES1	79	885	466	165	1626	344
MFSD1	5523	14357	13907	6186	2692	1193
MIR3919	0	0	0	0	0	0
IQCJ-SCHIP1-AS1	0	0	0	0	0	0
IL12A	29	0	194	9	29	19
LINC01100	0	0	0	0	0	0
C3orf80	224	1533	637	36	904	577
SMC4	1242	6676	4408	688	864	295
MIR15B	5	3	0	0	0	0
TRIM59	1608	5637	7348	326	870	88
MIR16-2	7	2	0	0	1	0
KPNA4	1404	4126	2913	1659	859	482
SCARNA7	41	1	0	30	1	0
ARL14	189	388	1	212	5	9
B3GALNT1	3433	5765	2494	966	696	207
LOC101243545	0	83	0	6	2	0
SLITRK3	0	0	0	0	0	0
SERPINI2	1317	468	129	5703	10	0
PDCD10	5695	15086	12546	3132	1668	850
MIR551B	0	14	2	2	3	1
LOC100507661	59	1116	899	88	366	41
LRRC34	123	588	322	80	141	16
MYNN	2693	5891	5649	1669	579	250
LRRC31	0	0	0	59	0	0
LRRIQ4	0	0	0	12	9	0
TERC	13	197	22	244	143	71
ACTRT3	367	600	250	290	114	36
SAMD7	0	3	0	0	0	0
LOC100128164	38	159	425	48	106	33
SEC62	18394	47979	24186	14249	7884	3068
GPR160	1295	2431	544	2633	222	54
SKIL	11339	13319	14280	2043	638	441
CLDN11	431	557	181	183	782	213
MIR6828	0	0	0	0	1	1
EIF5A2	2150	2431	1502	502	284	195
RPL22L1	698	3234	648	6122	876	336
SLC2A2	0	2114	738	89	72	23
MIR569	0	0	0	0	0	0
TMEM212-AS1	0	0	0	0	0	0
GHSR	501	1243	289	44	184	60
NLGN1-AS1	0	103	2	4	3	2
NAALADL2-AS3	0	0	0	0	1	0
MIR4789	0	0	0	0	0	0
MIR548AY	0	0	0	0	0	0
NAALADL2-AS1	0	12	0	2	0	0
LINC01208	0	80	0	11	3	0
LINC01209	0	16	0	1	0	0
LINC00501	0	0	0	0	0	2
LINC01014	807	1520	447	175	520	82
KCNMB3	61	359	225	224	50	38
GNB4	140	620	412	91	241	136
MFN1	1787	3988	1146	1456	447	225
ACTL6A	2253	10361	8159	3544	1088	529
NDUFB5	10733	27322	15191	6219	3688	1601
LOC101928790	0	22	0	1	0	0
TTC14	3538	6189	2893	1799	1238	330
DNAJC19	2706	7870	3854	1907	1431	748
FXR1	3029	7764	7442	3307	1668	611
SOX2	0	0	35	0	0	0
LINC01206	0	0	0	0	0	0
DCUN1D1	1844	2960	2820	1691	398	118
MCCC1	2633	8999	1886	11979	893	431
LINC00888	1529	3528	1955	1587	1311	465
KLHL6-AS1	0	0	0	3	0	0
PARL	4324	12803	6416	4065	1765	1228
MAP6D1	256	927	3	151	37	14
HTR3D	0	0	0	0	0	0
ABCC5	1586	9760	2805	1853	1196	863
ABCC5-AS1	0	86	14	0	1	0
HTR3C	0	0	0	0	0	0
HTR3E	0	3	0	3	0	0
DVL3	2193	5494	2275	7225	5588	2917
EIF2B5	1728	8048	4709	4727	2253	1400
CAMK2N2	106	1609	424	428	550	290
ALG3	7029	18379	3932	11485	3060	2864
ECE2	763	2709	1014	2092	1233	605
VWA5B2	1710	18344	1223	3933	6995	3110
ABCF3	4943	14354	2411	3728	2176	1470
MIR1224	4	73	0	4	22	5
EIF4G1	8012	38501	4889	27440	7580	4367
CHRD	171	347	0	217	24	26
FAM131A	794	3234	81	2333	1571	496
SNORD66	0	0	0	0	0	0
THPO	0	0	0	4	0	0
CLCN2	10	516	284	1338	312	191
POLR2H	3339	8439	4358	6694	2958	1451
MAGEF1	2564	8950	4448	7759	4072	1712
LOC101928992	1	0	0	0	0	1
EHHADH-AS1	0	0	0	0	0	0
MIR5588	0	0	0	0	0	0
TMEM41A	1982	10234	2592	9518	1370	477
LIPH	738	4639	662	4821	535	211
C3orf65	0	0	0	1	0	0
TRA2B	5451	17534	9237	5947	2271	1085
LOC344887	0	224	108	152	2	9
ETV5	1211	3530	845	931	886	498
LOC253573	0	0	0	0	0	0
AHSG	0	0	0	9	0	0
DNAJB11	4868	17390	10732	6807	2418	1185
TBCCD1	1206	2337	1491	792	280	148
CRYGS	63	435	191	54	31	22
FETUB	0	0	0	1	0	0
EIF4A2	36444	99976	62529	18695	15881	5678
SNORA81	23	9	19	4	2	1
KNG1	0	54	12	50	15	6
MIR1248	0	0	0	0	0	0
SNORD2	3	28	0	11	9	2
SNORA4	47	138	55	33	11	2
SNORA63	30	60	61	45	17	12
ADIPOQ	0	1	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0
RPL39L	30	108	132	324	51	98
MASP1	0	20	25	401	0	0
RTP1	1	2	3	0	0	0
LOC101929106	22	0	0	2	0	0
RTP4	426	2909	1161	1372	414	221
SST	2201896	6221722	1188207	165315	794888	615922
RTP2	0	0	0	0	0	0
BCL6	232	14065	210	8832	227	107
FLJ42393	192	566	152	105	36	12
LPP-AS2	56	403	80	394	113	79
LPP-AS1	0	0	0	8	4	0
TPRG1-AS1	0	14	0	4	10	0
TPRG1-AS2	0	0	0	0	0	0
MIR944	0	0	0	0	0	0
CLDN1	2012	27956	5489	25272	2516	2752
TMEM207	0	0	0	0	0	0
CLDN16	1	30	0	43	7	2
SNAR-I	0	21	0	3	1	4
OSTN	0	0	1	0	0	0
UTS2B	0	0	0	0	0	0
PYDC2	0	0	0	0	0	0
FGF12-AS1	0	5	0	0	0	0
HRASLS	174	778	191	283	96	45
MGC2889	0	0	11	0	0	0
ATP13A5-AS1	0	0	0	0	0	0
ATP13A4-AS1	1	0	0	128	5	0
OPA1-AS1	3	24	3	15	2	2
LOC647323	0	0	0	8	1	1
DPPA2P3	0	0	0	0	0	0
LRRC15	0	0	0	1	0	0
LINC00887	0	0	0	24	1	0
CPN2	0	0	0	0	6	0
ATP13A3	3543	9025	5252	2324	1212	557
LINC00884	428	1437	383	448	422	152
TMEM44	248	352	121	1104	270	222
TMEM44-AS1	565	2686	1195	685	576	245
LOC100507391	0	0	0	2	0	0
FAM43A	0	228	201	216	219	2095
XXYLT1-AS1	0	0	0	0	0	0
XXYLT1-AS2	0	0	0	0	2	10
MIR5692C1	0	0	0	0	0	0
PPP1R2	2970	12896	5627	3405	1747	984
SDHAP2	91	321	16	217	105	28
MIR570	12	62	34	32	11	3
MUC4	1	102	1	450	6	5
MUC20	3827	24362	2804	11970	2242	2757
TNK2	923	2963	727	1149	1020	413
MIR6829	0	0	0	0	0	0
TFRC	14724	24285	11710	13546	2846	1625
ZDHHC19	0	0	0	12	0	0
LINC00885	0	0	0	4	0	0
TM4SF19	0	2	0	0	0	0
TCTEX1D2	1311	4279	1327	1583	1137	673
TM4SF19-TCTEX1D2	0	5	1	0	1	0
PCYT1A	839	1331	626	1314	402	246
TM4SF19-AS1	0	24	17	60	21	0
FBXO45	882	2667	940	488	406	169
WDR53	670	3044	1416	510	280	139
C3orf43	0	0	0	0	0	0
PIGX	1112	3719	2625	2444	1460	512
NRROS	0	0	13	7	0	4
CEP19	162	1348	646	247	180	60
NCBP2	5755	19890	8058	4380	2984	1265
MFI2-AS1	0	343	1	88	173	71
NCBP2-AS2	4436	13434	5593	5816	2888	1476
PIGZ	221	3068	526	1220	787	299
DLG1-AS1	0	66	0	32	12	2
MIR4797	0	0	0	0	0	0
LOC220729	381	1596	299	458	318	94
FYTTD1	4411	20975	9342	4789	2043	766
KIAA0226	3164	5166	2125	3809	1131	606
MIR922	0	0	0	0	0	0
LMLN	811	1942	716	364	350	149
RPL35A	10731	48458	10923	41563	17926	8620
LMLN-AS1	1	2	0	4	1	0
FAM157A	13	13	1	25	1	0
LDB2	627	4878	1761	107	804	656
ACOX3	764	3141	619	1326	662	437
TMEM33	18662	27090	24496	6761	2722	1182
SEPSECS-AS1	123	566	136	72	152	23
CCSER1	338	1401	867	608	344	67
LEF1	0	0	272	31	63	27
LIN54	1399	2288	1164	747	441	127
SPOCK3	2199	9433	4920	1053	386	648
IL15	28	378	76	334	87	29
WFS1	24535	75202	17643	24506	26837	16010
POLN	0	157	229	81	50	1
STK32B	353	2497	313	81	761	523
SORCS2	4	3	0	10	1	7
OTOP1	0	0	0	0	0	0
HTT	1689	8581	2661	3715	3198	1899
BST1	90	299	26	28	34	15
KCNIP4	0	78	60	67	17	6
NCAPG	0	103	12	57	64	17
APBB2	2194	4357	1939	1427	797	416
PDS5A	3406	10051	6712	6304	1797	552
TEC	574	1242	883	253	166	28
GABRB1	249	1	1	0	0	5
GRXCR1	0	0	0	0	6	0
KIT	0	1031	525	322	24	154
USP46	629	1908	1172	1009	272	195
LPHN3	0	0	4	3	0	0
SLC4A4	464	10334	7724	16273	2679	2086
ADAMTS3	0	0	0	52	1	0
RASSF6	1352	6520	2242	3755	416	191
MUC7	0	0	0	0	0	0
YTHDC1	4238	15627	7244	4647	3651	1293
C4orf22	0	0	0	0	0	0
CNOT6L	954	5002	2884	1087	767	170
SHROOM3	2364	6008	3351	3890	913	459
CDKL2	506	3237	1198	365	314	44
MAPK10	3706	11167	2590	1076	1703	502
GPRIN3	219	2516	280	2682	810	234
ABCG2	449	1817	2276	96	689	461
PDLIM5	7411	19852	9607	12820	3293	1432
GRID2	0	0	0	0	1	0
UNC5C	0	101	41	181	60	12
STPG2	0	114	56	41	39	5
SLC9B1	335	1268	220	267	153	71
CISD2	4382	12611	6494	5312	2141	1103
BANK1	88	1137	568	276	65	30
ANK2	31	2717	2346	402	1278	241
ALPK1	509	828	234	634	117	76
COL25A1	0	33	0	5	4	0
PRDM5	128	642	499	367	129	57
TMEM155	0	0	0	0	0	0
LINC01091	254	1019	431	67	114	51
LOC729218	48	487	80	391	170	35
C4orf33	1818	5462	2544	954	599	193
TBC1D9	1515	3934	2195	2978	1458	659
TTC29	0	0	0	0	16	0
INPP4B	140	3399	2036	2003	292	185
ARHGAP10	833	1688	488	651	393	208
ZNF827	218	3420	241	1047	864	450
SH3D19	675	1187	686	1655	290	150
TRIM2	3848	9979	5492	4144	2165	555
DCHS2	76	709	255	106	13	9
MARCH1	1083	648	413	225	296	26
FSTL5	5415	10174	6817	647	2634	657
MFAP3L	448	756	444	259	151	30
LOC100506122	0	0	0	0	0	0
GALNTL6	0	541	31	65	34	0
NEIL3	0	32	1	78	55	4
TENM3	1502	7368	1606	1998	872	415
SORBS2	6058	27882	9340	17109	4468	1559
PRIMPOL	179	1664	908	474	287	76
PDE6B	2418	3850	1948	984	695	551
CPLX1	109	1538	241	901	1656	678
PIGG	1086	6216	2621	3849	1345	804
GAK	3564	10574	1437	6350	2445	1371
ZNF718	207	2201	597	501	461	215
WHSC1	2572	7095	2124	2136	1466	664
LETM1	2973	6125	1760	3284	942	717
SLBP	3245	13647	7035	4448	2262	1130
SPON2	3549	4918	1461	742	3002	4653
MAEA	4013	13284	2521	6559	3130	1548
ADD1	5809	15269	5194	6568	3869	2519
GRK4	55	423	638	208	247	71
RNF4	5241	15286	2454	5667	1327	980
ZFYVE28	166	1758	536	934	487	248
TNIP2	943	2539	815	2889	1181	1050
RGS12	378	2741	167	1510	760	563
STX18	1533	6392	3039	882	1046	538
STX18-AS1	127	408	183	185	95	74
EVC	18	119	0	224	129	214
EVC2	40	213	48	332	69	17
JAKMIP1	433	5692	1187	2648	910	457
KIAA0232	646	8961	2849	3154	1879	682
TBC1D14	450	2172	248	1419	605	251
PPP2R2C	118	1717	144	203	419	91
ABLIM2	925	4295	1196	2868	2146	884
AFAP1	360	2472	532	673	473	270
WDR1	8067	22855	6997	15073	6093	4635
SLC2A9	0	333	0	191	27	84
CLNK	0	23	0	1	5	0
HS3ST1	354	2138	586	631	193	98
LINC01182	1	0	19	10	0	0
CPEB2-AS1	0	0	40	2	0	0
CC2D2A	512	2664	1249	776	352	178
PROM1	265	4936	1382	3254	451	545
TAPT1-AS1	728	4779	285	5279	2008	1187
FAM184B	474	2001	260	139	321	60
LCORL	1844	7469	3852	1128	972	267
PACRGL	457	2555	1413	1106	429	220
SLIT2	206	241	1874	148	100	47
GBA3	79	0	75	67	6	10
GPR125	858	2547	1443	1185	304	162
PPARGC1A	1241	1043	287	1126	117	149
MIR548AJ2	0	0	0	0	0	0
CCDC149	881	1089	1419	1146	621	282
SEL1L3	1512	9094	3631	10321	1544	1188
RBPJ	4157	11734	7003	6419	2267	777
STIM2	1287	2876	2021	1545	734	329
TBC1D19	874	3746	3220	685	460	158
PCDH7	622	1113	537	475	139	122
ARAP2	127	1339	964	606	117	84
DTHD1	0	0	0	0	0	0
NWD2	0	0	24	37	1	9
RELL1	8597	13075	13454	2383	696	556
C4orf19	2344	10338	2187	5477	772	380
TBC1D1	2063	3521	2550	2897	1582	591
KLF3-AS1	183	196	0	53	20	15
KLF3	1549	4363	3282	4851	981	835
RFC1	4220	10540	5138	4549	2541	856
FAM114A1	3758	8753	5529	3506	1669	1322
UBE2K	3241	13851	6122	5947	2542	1268
UGDH-AS1	184	1000	102	427	387	91
KLB	2695	3130	1663	1007	799	294
SMIM14	8744	25445	13348	9019	2352	917
WDR19	898	3543	2093	949	548	161
MIR1273H	0	5	3	0	0	0
KLHL5	1422	3212	3214	4811	1157	721
RHOH	0	259	10	3	19	3
N4BP2	992	4033	1767	1038	534	150
RBM47	12693	21404	4769	11727	3319	1586
NSUN7	160	2571	413	1680	600	241
LIMCH1	11487	26050	9610	9778	4972	2155
SLC30A9	9304	25236	12533	6748	2523	1126
ATP8A1	1519	8659	4444	1050	825	232
KCTD8	62	882	129	312	108	61
GUF1	3072	4708	2636	1607	614	321
GABRA4	0	0	1	1	0	0
GABRA2	0	73	30	38	46	3
COX7B2	0	0	0	3	0	0
CNGA1	10	1099	714	919	211	266
CORIN	104	189	230	36	9	0
TXK	10	207	144	57	29	35
ATP10D	756	3354	1431	746	806	191
FRYL	2488	6551	4229	2328	1435	299
OCIAD2	12027	42062	23433	13093	4671	2908
CWH43	0	0	0	0	1	0
SLAIN2	1125	6625	1893	2458	1072	486
SPATA18	822	808	470	589	191	83
FIP1L1	3859	10156	5378	2782	1552	668
LNX1	899	4105	2448	2338	652	266
SCFD2	1467	5135	545	1225	587	209
CHIC2	1156	5099	2473	1869	673	531
CLOCK	2415	10778	6002	2214	1780	486
SRD5A3	2518	6756	1729	3639	1084	800
KDR	153	650	3204	0	145	2896
NMU	0	15	0	16	0	1
PPAT	1257	1936	935	620	310	114
HOPX	4580	20858	6969	898	3510	1065
CEP135	510	938	583	362	170	66
EXOC1	1994	7158	6112	2664	1124	398
THEGL	0	82	0	4	3	11
KIAA1211	320	797	138	205	32	35
IGFBP7	5953	61581	21086	42987	37260	32057
IGFBP7-AS1	66	1025	110	1091	882	808
LOC401134	0	0	0	0	0	0
TECRL	0	9	0	1	0	0
EPHA5	168	178	1027	51	4	15
TMPRSS11A	0	39	0	29	6	0
TMPRSS11BNL	0	0	0	0	0	0
TMPRSS11F	0	0	0	1	0	0
UBA6	6950	6155	9508	2127	1039	251
FTLP10	2	0	0	0	0	0
TMPRSS11E	0	0	0	22	0	0
UGT2A1	0	1	0	3	0	0
MOB1B	5351	21736	20238	3020	3697	1132
GRSF1	8967	46746	19011	10702	8548	2994
GC	63397	266994	128522	31296	47606	12545
NPFFR2	142	787	362	144	43	50
ANKRD17	4705	13455	9940	8118	3076	1211
AFP	0	0	1	5	0	4
COX18	1161	2104	1120	580	297	113
MTHFD2L	565	1612	423	644	357	148
EREG	0	3	0	3	0	0
RCHY1	3771	8342	8549	1836	1327	406
PARM1	56443	79797	19721	17486	13786	4247
LOC441025	0	0	0	0	0	0
LOC100507388	0	90	1	11	8	0
ART3	0	7	0	0	3	0
PPEF2	1	0	0	0	15	0
USO1	6961	16939	11883	4182	2621	680
